,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,755546,755546,648063,459158,400084.0
1,Investing Cash Flow,292967,292967,109376,205528,138602.0
2,Financing Cash Flow,697414,697414,248416,286409,597799.0
3,End Cash Position,144454,144454,383928,90326,123794.0
4,Capital Expenditure,119549,119549,107876,155224,122936.0
5,Issuance of Debt,0,0,200000,100000,0
6,Repayment of Debt,50000,50000,289625,110275,256040.0
7,Repurchase of Capital Stock,762339,762339,203418,309711,378694.0
8,Free Cash Flow,635997,635997,540187,303934,277148.0
