,stock,date,time,heading,compound score
49,ANSS,2022-01-25,09:38AM  ,"Railway Pension Investments Ltd Buys Abbott Laboratories, Alphabet Inc, Advanced Micro Devices ...",0.25
50,ANSS,2022-01-24,05:38PM  ,"Arthur M. Cohen & Associates, Llc Buys Invesco NASDAQ 100 ETF, General Electric Co, ...",0.0
51,ANSS,2022-01-24,01:38PM  ,"Aegon Asset Management Uk Plc Buys Autodesk Inc, Advanced Drainage Systems Inc, Stanley Black ...",0.5423
52,ANSS,2022-01-21,01:38PM  ,"Darwin Advisors, LLC Buys iShares U.S. Technology ETF, First Trust Exchange-Traded Fund VIII ...",0.5106
53,ANSS,2022-01-20,04:30PM  ,"ANSYS TO RELEASE FOURTH QUARTER AND FY 2021 EARNINGS ON February 23, 2022",0.0
54,ANSS,2022-01-19,08:29AM  ,Heres Why Baron Funds Became Optimistic in ANSYS Inc. (ANSS),0.3182
55,ANSS,2022-01-13,01:38PM  ,Several Pittsburgh companies make 2022 JUST Capital rankings,0.0
56,ANSS,2022-01-06,09:48AM  ,ANSYS' (ANSS) Software Solutions Continue to Gain Traction,0.6249
57,ANSS,2022-01-05,09:22AM  ,ANSYS' (ANSS) Simulation Solutions Leveraged by Innoviz,0.1779
58,ANSS,2022-01-05,09:00AM  ,Ansys Helps Drive Electric Autonomous Vehicle Safety for EasyMile,0.6597
59,ANSS,2022-01-04,03:21PM  ,"Pittsburgh tech companies showcase latest products, advancements at CES in Las Vegas",0.0
60,ANSS,2022-01-04,09:00AM  ,Ansys and Innoviz Technologies Enable Autonomous Driving Revolution with Next-Gen LiDAR Design,0.0
61,ANSS,2022-01-03,09:00AM  ,3M and Ansys Train Engineers to Improve Adhesive Joint Design and Drive Sustainability,0.4404
62,ANSS,2022-01-02,06:43AM  ,Here's Why I Think ANSYS (NASDAQ:ANSS) Is An Interesting Stock,0.4019
63,ANSS,2021-12-31,08:48AM  ,BlackBerry (BB) is an Enticing Bet for Investors: Here's Why,0.0
64,ANSS,2021-12-28,09:00AM  ,Ansys to Showcase Latest Simulation Capabilities for Sustainable Mobility at CES 2022,0.0
65,ANSS,2021-12-22,08:05AM  ,"BlackBerry (BB) Swings to Loss in Q3, Revenues Decline Y/Y",-0.3182
66,ANSS,2021-12-22,06:50AM  ,3 Leading Tech Stocks to Buy in 2022 and Beyond,0.0
67,ANSS,2021-12-17,04:38PM  ,"Wisconsin Capital Funds Inc Buys Advanced Micro Devices Inc, Chewy Inc, Marqeta Inc, Sells ...",0.25
68,ANSS,2021-12-15,09:00AM  ,Ansys Fuels Carbon-Free Transportation with Synhelion,0.0
69,ANSS,2021-12-15,07:30AM  ,This Software Giant Could See a Huge Lift From the Metaverse,0.3182
70,ANSS,2021-12-13,11:41AM  ,Ansys Congratulates Red Bull Racing Honda for Formula One Drivers' World Championship Victory,0.4404
71,ANSS,2021-12-08,12:20PM  ,"Is ANSYS, Inc. (ANSS) A Good Stock To Buy?",0.4404
72,ANSS,2021-12-07,04:28AM  ,ANSYS (NASDAQ:ANSS) Has A Rock Solid Balance Sheet,0.1531
73,ANSS,2021-12-03,11:31AM  ,Why Is Ansys (ANSS) Down 3.6% Since Last Earnings Report?,0.0
74,ANSS,2021-12-01,09:00AM  ,Ansys Empowers SPEC Innovations to Shoot for the Moon in NASA Challenge,-0.2732
75,ANSS,2021-11-30,05:14PM  ,Ansys Stock Earns Relative Strength Rating Upgrade; Hits Key Benchmark,0.4939
76,ANSS,2021-11-30,07:38AM  ,"The Zacks Analyst Blog Highlights: Alphabet, Cadence Design Systems, Veeva Systems, Mettler-Toledo and ANSYS",0.0
77,ANSS,2021-11-29,05:55AM  ,Black Friday on Global Bourses: 5 Picks to Protect Portfolio,0.3818
78,ANSS,2021-11-24,08:53AM  ,Cambium (CMBM) Boosts Lnet's Network With ePMP Fixed Wireless,0.3182
79,ANSS,2021-11-24,08:45AM  ,BlackBerry (BB) Boosts Automotive Innovation With L-SPARK Tie-Up,0.5994
80,ANSS,2021-11-23,09:00AM  ,Ansys Receives 2021 TSMC OIP Partner of the Year Awards for Next-Generation Design Enablement,0.4588
81,ANSS,2021-11-22,04:30PM  ,Ansys Chief Executive Officer to Present at the 45th Nasdaq Investor Conference,0.0
82,ANSS,2021-11-18,09:00AM  ,Realtek and Ansys Accelerate Complex IC Design for RFIC & High-Speed IC with Advanced Simulation Workflow,0.25
83,ANSS,2021-11-18,08:05AM  ,BlackBerry (BB) to Power Mahindra & Mahindra's XUV700 CDC,0.0
84,ANSS,2021-11-15,09:00AM  ,Ansys Multiphysics Solutions Achieve Certification for Samsung's 3nm and 4nm Process Technologies,0.1779
85,ANSS,2021-11-11,04:49AM  ,ANSYS (NASDAQ:ANSS) shareholders have earned a 33% CAGR over the last five years,0.0
86,ANSS,2021-11-09,09:00AM  ,Ansys' AGI Receives Presidential Award for Exports,0.5423
87,ANSS,2021-11-08,01:12PM  ,"Were Hedge Funds Right About ANSYS, Inc. (ANSS)?",0.0
88,ANSS,2021-11-05,07:00AM  ,Ansys Selected by Panasonic Automotive to Streamline Functional Safety Analysis for Future Mobility Technology,0.4215
89,ANSS,2021-11-04,08:02PM  ,Ansys Inc (ANSS) Q3 2021 Earnings Call Transcript,0.0
90,ANSS,2021-11-04,10:35AM  ,"ANSYS (ANSS) Q3 Earnings and Revenues Top Estimates, Up Y/Y",0.2023
91,ANSS,2021-11-03,06:05PM  ,Ansys (ANSS) Beats Q3 Earnings and Revenue Estimates,0.0
92,ANSS,2021-11-03,04:30PM  ,"Ansys Announces Q3 2021 Financial Results With Record Q3 ACV, Revenue and Cash Flow",0.0
93,ANSS,2021-11-02,05:46PM  ,Ansys signs agreement with AI software platform Oculii to advance autonomous vehicle radar systems,0.4939
94,ANSS,2021-11-02,09:00AM  ,Ansys and Oculii Reimagine Automotive Radar Systems,0.0
95,ANSS,2021-11-01,09:38AM  ,What's in the Offing for ANSYS' (ANSS) Q3 Earnings Release?,0.0
96,ANSS,2021-11-01,09:00AM  ,Seagate Expands Use of Ansys' Simulation Solutions to Advance Data Storage Worldwide,0.2732
97,ANSS,2021-10-27,03:03PM  ,Earnings Preview: Ansys (ANSS) Q3 Earnings Expected to Decline,0.0
98,ANSS,2021-10-27,09:00AM  ,Ansys Collaborates with TSMC to Deliver Thermal Analysis Solution for 3D-IC Designs,0.3182
99,ANSS,2021-10-26,06:24PM  ,Ansys Appoints Anil Chakravarthy to the Board of Directors,0.0
