,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,1338000,1338000,584000,2873000,3861000
1,Investing Cash Flow,3282000,3282000,1958000,1867000,2531000
2,Financing Cash Flow,1695000,1695000,2664000,1460000,981000
3,End Cash Position,576000,576000,327000,449000,903000
4,Capital Expenditure,1329000,1329000,1747000,1845000,2242000
5,Issuance of Debt,1394000,1394000,3675000,362000,15000
6,Repayment of Debt,105000,105000,4884000,813000,141000
7,Free Cash Flow,2667000,2667000,1163000,1028000,1619000
