,0,1,2,3,4,5,6
0,Date,Open,High,Low,Close,Adj Close,Volume
74,2021-08-16,109.959999,111.750000,109.010002,110.279999,107.280624,1723800
75,2021-08-17,110.269997,110.570000,108.839996,110.099998,107.105522,1074400
76,2021-08-18,109.900002,110.570000,109.430000,110.139999,107.144440,1021000
77,2021-08-19,110.220001,112.190002,110.080002,111.790001,108.749557,1622500
78,2021-08-20,111.599998,114.709999,111.019997,114.599998,111.483131,1987800
79,2021-08-23,114.660004,114.879997,113.330002,114.000000,110.899460,1680600
80,2021-08-24,114.019997,114.120003,112.760002,113.739998,110.646523,1999400
81,2021-08-25,113.550003,114.389999,113.000000,113.790001,110.695168,1517000
82,2021-08-26,113.690002,114.320000,112.949997,113.680000,110.588165,1948700
83,2021-08-27,113.680000,113.839996,111.339996,111.690002,108.652283,2804800
84,2021-08-30,110.000000,110.099998,107.559998,109.360001,106.385658,3076500
85,2021-08-31,109.150002,110.720001,108.709999,110.610001,107.601662,2853000
86,2021-09-01,111.029999,112.790001,110.559998,112.529999,109.469429,1847600
87,2021-09-02,112.790001,113.730003,112.339996,113.709999,110.617340,2068400
88,2021-09-03,113.279999,113.379997,112.220001,112.559998,109.498619,1586700
89,2021-09-07,112.199997,112.650002,111.089996,112.500000,109.440254,2189100
90,2021-09-08,112.440002,115.010002,112.000000,114.830002,111.706879,1516200
91,2021-09-09,114.599998,114.989998,112.860001,112.940002,109.868286,1653500
92,2021-09-10,112.940002,112.940002,111.739998,111.839996,108.798203,762600
93,2021-09-13,112.870003,113.919998,112.480003,113.349998,110.267128,954500
94,2021-09-14,114.050003,115.019997,113.449997,114.389999,111.278839,2014500
95,2021-09-15,113.900002,114.339996,111.820000,112.889999,109.819649,2652400
96,2021-09-16,112.779999,113.309998,111.870003,112.410004,109.352699,1161400
97,2021-09-17,112.120003,112.690002,110.790001,111.040001,108.019966,2375500
98,2021-09-20,110.639999,111.349998,108.370003,109.510002,106.531570,1413600
99,2021-09-21,109.610001,110.519997,107.970001,107.980003,105.043190,1810100
100,2021-09-22,108.099998,108.610001,105.660004,105.989998,103.107300,1614300
101,2021-09-23,105.480003,105.900002,102.510002,102.610001,99.819237,2063500
102,2021-09-24,102.309998,102.959999,100.449997,100.849998,98.107101,2409400
103,2021-09-27,100.510002,101.709999,99.940002,100.019997,97.299675,2612100
104,2021-09-28,100.000000,100.959999,98.500000,99.260002,96.560356,2023900
105,2021-09-29,99.449997,101.690002,99.070000,100.739998,98.000092,2021400
106,2021-09-30,100.989998,101.120003,99.239998,99.309998,96.608994,1284000
107,2021-10-01,99.900002,100.580002,99.089996,99.370003,96.667358,1855600
108,2021-10-04,99.430000,101.760002,99.309998,101.379997,98.622688,1638900
109,2021-10-05,101.459999,102.199997,101.029999,101.470001,98.710243,1238800
