,Breakdown,ttm,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,0,544407.0,287453,292218
1,Investing Cash Flow,0,167154.0,145369,112123
2,Financing Cash Flow,0,765.0,20363,23001
3,End Cash Position,0,1323533.0,937688,771711
4,Income Tax Paid Supplemental Data,0,54520.0,65306,40437
5,Interest Paid Supplemental Data,0,425.0,832,777
6,Capital Expenditure,0,68793.0,99308,37574
7,Issuance of Debt,0,0,0,0
8,Repayment of Debt,0,18.0,9,3494
9,Free Cash Flow,0,475614.0,188145,254644
