,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,8358000,8358000,6208000,3951600,4022000
1,Investing Cash Flow,12987000,12987000,21239000,1238100,2949400
2,Financing Cash Flow,1295000,1295000,1006000,16365900,797400
3,End Cash Position,2586000,2586000,6035000,19912300,787800
4,Capital Expenditure,1294000,1294000,791000,635500,655700
5,Issuance of Capital Stock,86000,86000,3550000,3816300,96000
6,Issuance of Debt,984000,984000,8670000,12112800,0
7,Repayment of Debt,1282000,1282000,5959000,1571000,507800
8,Free Cash Flow,7064000,7064000,5417000,3316100,3366300
